Order,Section Code,Section Title,Applies To,Key Step / Check,Required Photo Evidence,Hold Point,Blocking Rule,Supervisor Clearance Required
1,setup,Setup / Run Configuration,All fencing,"Confirm fence type, location, included components, height, finish and any risk flags before work starts.",Not required unless site notes need supporting photos.,Yes,Do not start site work until setup is complete.,Yes
2,property_protection,Pre-start / Property Protection,All fencing,"Photograph existing conditions and protect client/neighbour property, access routes, gardens, paving, walls, windows and services.",Existing site condition; protected surfaces/areas; access route; material storage area.,Yes,"Do not demolish, dig or install until property protection and existing condition photos are complete.",Yes
3,boundary_setout,Boundary / Set-out / Height,All fencing,"Confirm fence line, start/end points, corners/returns, finished height, facing direction, post spacing and gate openings where relevant.",Stringline; start/end points; corners/returns; height reference; gate opening if included.,Yes,"Do not dig post holes if boundary, set-out, height or gate opening is unclear or disputed.",Yes
4,demolition_clearance,Existing Fence Removal / Site Clearance,Where existing fence is removed,"Remove existing fence cleanly, manage waste, expose the fence line and record unexpected issues such as roots, services, concrete or damage.",Before removal; after removal; waste/control area; unexpected issues if found.,No,"Block post holes if removal exposes services, boundary issues, unstable ground or damage needing review.",If issue raised
5,post_holes,Post Holes Before Concrete,All fencing,"Confirm post-hole location, spacing, depth, diameter, alignment, gate post locations and ground condition before posts are set.",Holes along stringline; representative depth/diameter with tape; corner/end/gate post holes; obstructions if any.,Yes,"Do not concrete posts until hole position, depth and spacing are approved.",Yes
6,posts_installed,Posts Installed / Concreted,All fencing,"Check posts are plumb, aligned, correctly spaced, set to suitable height and concreted securely.",Posts along stringline; plumb/level checks; concrete around posts; corner/end/gate posts.,Yes,"Do not install rails if posts are out of plumb, misaligned, loose, incorrectly spaced or not ready.",Yes
7,rails_frame_plinth,Rails / Frame / Plinth,All fencing,"Confirm rails are straight, correctly positioned, securely fixed and ready for palings or pickets. Check plinth where included.",Rails before cladding; fixing detail; rail heights; plinth board if included; gate frame if included.,Yes,Do not install palings or pickets until rail/frame/plinth work is approved.,Yes
8,paling_installation,Paling Installation,Paling fence,"Check paling facing, overlap/layout, top and bottom lines, fixing pattern, damaged palings, corners and returns.",First section; overlap/detail; fixing pattern; completed representative section; corners/returns.,Yes,"Do not cap or finalise if paling line, overlap, fixings or damaged materials remain unresolved.",Yes
9,paling_capping,Paling Capping,Paling fence with capping,"Confirm capping is straight, securely fixed, cleanly joined and finished neatly at ends and returns.",Capping line; joins/mitres; ends/returns; exposed fixing detail where relevant.,No,"Final completion blocked if capping is loose, visibly poor or incomplete.",If issue raised
10,picket_first_section,Picket Layout / First Section,Picket fence,"Approve picket spacing, height, profile/top line, bottom clearance and end spacing before full installation.",First section; picket spacing sample; height reference; top line/profile; end detail.,Yes,Do not continue full picket installation until first section layout is approved.,Yes
11,picket_installation,Picket Installation,Picket fence,"Check pickets are plumb, consistently spaced, neatly fixed and visually aligned across the full fence.",Progress photos; spacing detail; fixing detail; ends/corners/returns; finished elevation.,No,"Final completion blocked if picket spacing, line, fixings or damaged materials remain unresolved.",If issue raised
12,gate_installation,Gate Installation,Where gates are included,"Check gate posts, frame, hinges, latch, clearances, swing direction and operation.",Gate opening; gate posts; hinges; latch; gate open and closed; clearances.,Yes,Final completion blocked if gate does not operate cleanly or hardware is incomplete.,Yes
13,finish_coating,Paint / Stain / Oil Finish,Where finish is included,"Confirm product, surface prep, even application, cut-end treatment and protection of surrounding surfaces.",Product used; surface before coating; coated sections; touch-ups; protected adjacent surfaces.,No,"Final completion blocked if finish is incomplete, wrong product used or adjacent surfaces are contaminated.",If issue raised
14,final_review,Final Supervisor Review,All fencing,"Confirm fence is straight, secure, cleanly finished, gates operate, site is clean, waste removed and scope is complete.",Full fence from both ends; front/back faces where accessible; gates; corners/returns; cleaned work area.,Yes,Cannot approve run until all applicable sections are cleared or explicitly supervisor-approved.,Yes
